1232021-11-02 05:02:27,443 gpu device = 0
2021-11-02 05:02:27,443 args = Namespace(arch='DARTS', auxiliary=True, auxiliary_weight=0.4, batch_size=96, cutout=True, cutout_length=16, data='data', drop_path_prob=0.2, epochs=100, epochs2=100, gpu=0, grad_clip=5, init_channels=36, layers=20, learning_rate=0.025, model_path='saved_models', momentum=0.9, report_freq=50, save='eval-EXP-20211102-050226', seed=0, weight_decay=0.0003)
2021-11-02 05:02:30,914 param size = 3.302830MB
2021-11-02 05:02:32,639 epoch 0 lr 2.500000e-02
2021-11-02 05:02:39,742 gpu device = 0
2021-11-02 05:02:39,742 args = Namespace(arch='DARTS', auxiliary=True, auxiliary_weight=0.4, batch_size=64, cutout=True, cutout_length=16, data='data', drop_path_prob=0.2, epochs=100, epochs2=100, gpu=0, grad_clip=5, init_channels=36, layers=20, learning_rate=0.025, model_path='saved_models', momentum=0.9, report_freq=50, save='eval-EXP-20211102-050239', seed=0, weight_decay=0.0003)
2021-11-02 05:02:42,497 param size = 3.302830MB
2021-11-02 05:02:44,233 epoch 0 lr 2.500000e-02
2021-11-02 05:02:45,547 train 000 3.305092e+00 4.687500 43.750000
2021-11-02 05:03:01,185 train 050 3.126938e+00 16.299020 63.909314
2021-11-02 05:03:16,810 train 100 3.009592e+00 20.064975 70.312500
2021-11-02 05:03:32,249 train 150 2.944759e+00 21.937086 73.706540
2021-11-02 05:03:47,352 train 200 2.866128e+00 24.207090 76.274876
2021-11-02 05:04:02,552 train 250 2.785043e+00 26.562500 78.436255
2021-11-02 05:04:17,773 train 300 2.719210e+00 28.400125 80.076827
2021-11-02 05:04:32,888 train 350 2.664108e+00 30.025819 81.298967
2021-11-02 05:04:48,024 train 400 2.614362e+00 31.460411 82.356608
2021-11-02 05:05:03,205 train 450 2.567104e+00 32.781319 83.276746
2021-11-02 05:05:18,441 train 500 2.524687e+00 34.003867 84.060005
2021-11-02 05:05:33,675 train 550 2.480029e+00 35.299456 84.757827
2021-11-02 05:05:48,926 train 600 2.436824e+00 36.462666 85.469530
2021-11-02 05:06:04,171 train 650 2.399256e+00 37.507200 86.110311
2021-11-02 05:06:19,427 train 700 2.364448e+00 38.538695 86.639622
2021-11-02 05:06:34,592 train 750 2.330618e+00 39.472370 87.137983
2021-11-02 05:06:44,393 train_acc 40.036000
2021-11-02 05:06:44,648 valid 000 7.738804e-01 66.666664 100.000000
2021-11-02 05:06:47,151 valid 050 1.269871e+00 55.182072 94.677872
2021-11-02 05:06:49,673 valid 100 1.243266e+00 56.954266 94.483735
2021-11-02 05:06:52,149 valid 150 1.262098e+00 56.196783 94.323558
2021-11-02 05:06:54,534 valid 200 1.271732e+00 55.531864 94.148307
2021-11-02 05:06:57,079 valid 250 1.263063e+00 55.701005 94.441283
